[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.158333155] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.178644213] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.181636083] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.205503085] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.208798284] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.236828179] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.239975797] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.273035114] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.276320396] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.304218460] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.307740572] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.344842326] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.350068328] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.378652090] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.382524779] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.402683006] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.406219409] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.444283065] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.448398126] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.487059981] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.491868614] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.526425783] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.529933603] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.546690591] [target_detection_node]: ============================================================
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.548317482] [target_detection_node]: Performance Stats (Recent 100 frames, Total frames: 0)
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.549106428] [target_detection_node]: ============================================================
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.550099538] [target_detection_node]: preprocess          : Avg=  4.21ms, Max= 14.40ms, Min=  2.70ms
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.551017982] [target_detection_node]: rectangle_detection : Avg=  3.28ms, Max=  6.58ms, Min=  2.66ms
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.551928551] [target_detection_node]: circle_detection    : Avg= 12.24ms, Max= 28.12ms, Min=  9.05ms
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.552827745] [target_detection_node]: rendering           : Avg=  1.11ms, Max=  2.16ms, Min=  0.95ms
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.553712065] [target_detection_node]: total               : Avg= 32.76ms, Max=329.99ms, Min= 21.56ms
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.554456387] [target_detection_node]: Current FPS: 29.8
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.555214708] [target_detection_node]: ============================================================
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.574383034] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.577595692] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.602482637] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.605268593] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.625787606] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.628420732] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.647830554] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.650852465] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.679522267] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.683621287] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.727531018] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.732575897] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.750576991] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.754996255] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.775491060] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.790715531] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.810410015] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.814593033] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:59] [target_detect] [INFO] [1754005439.838314496] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
